study_word,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,c_s_io_,"cushion
","[-0.006666666666666667, -0.008888888888888889]","[-0.26666666666666666, -0.28888888888888886]","[1, 1]","[0, 0]","[0, 0]","[5.2577093330037314, 5.907841833017301]",['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,v_s_,vase,[0.012222222222222223],[-0.29777777777777775],[1],[0],[0],[2.8301635830139276],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,_ha_t,chart,[-0.0077777777777777776],[-0.3055555555555556],[1],[0],[0],[4.214088708016789],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,ta_l_e,table,[0.01],[-0.3111111111111111],[1],[0],[0],[2.9805159170064144],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,p_nc_l,pencil,[-0.0044444444444444444],[-0.30777777777777776],[1],[0],[0],[4.196673667000141],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,_ru_s_,,[0.0044444444444444444],[-0.3055555555555556],[1],[0],[0],[5.048171874979744],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,c_s_,case,[0.04666666666666667],[-0.3088888888888889],[1],[0],[0],[5.397900209005456],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,c_m_ra,camera,[0.034444444444444444],[-0.30444444444444446],[1],[0],[0],[3.879845874995226],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,_ho_e,whole,[0.034444444444444444],[-0.2833333333333333],[1],[0],[0],[6.51454287499655],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,_ou_e,house,[0.03222222222222222],[-0.3088888888888889],[1],[0],[0],[7.480528542015236],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,K_y_,keys,[-0.0044444444444444444],[-0.2922222222222222],[1],[0],[0],[2.714014833996771],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,Pas_r_,,[0.01],[-0.30666666666666664],[1],[0],[0],[2.3481601670209784],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,_a_bl_,marble,[0.016666666666666666],[-0.2966666666666667],[1],[0],[0],[6.2308213749784045],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,P_st_r,poster,[-0.01],[-0.3],[1],[0],[0],[3.897937791014556],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,_o_rd,,[0.0],[-0.2966666666666667],[1],[0],[0],[5.014369542011991],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,_oo_,book,"[0.0033333333333333335, 0.0022222222222222222]","[-0.3277777777777778, -0.30777777777777776]","[1, 1]","[0, 0]","[0, 0]","[2.7471044579870068, 3.497056124993833]",['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,T_hi_t,tshirt,[-0.006666666666666667],[-0.30444444444444446],[1],[0],[0],[3.213985959009733],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,P_li_e,police,[0.01],[-0.3022222222222222],[1],[0],[0],[8.847763041994767],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,l_pt_p,laptop,[-0.013333333333333334],[-0.29888888888888887],[1],[0],[0],[2.947179499984486],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,bo_t_e,bottle,[0.0],[-0.3088888888888889],[1],[0],[0],[3.3477222090004943],['text_3'],ankita,1,2023-10-05_22h38.46.103,priming effect,2023.1.3,59.71238015
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,no of hit (primed list),0.650,,,,,,,,,,,
,,,no of hit (non primed list),0.250,,,,,,,,,,,
,,,prime score,0.400,,,,,,,,,,,